,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children
Phra Nakhon,1562.0,4082.0,5.39,289.84,757.46,236.22,57.87,43.83,5.23,2.94,14.0,404.0,141.0,604.0,13.0,22.0,33.0,0.0,22.84,294.22,679.51,275100.29,65.73,68.74,16.36,8.5,79201.0,38134.0,24265.0,6958.0,10713.0,411.0
Dusit,3099.0,7740.0,11.37,272.64,680.95,462.53,59.76,40.69,5.0,2.9,7.0,92.0,13.0,80.0,5.0,20.0,12.0,0.0,6.01,849.59,2419.49,90162.96,112.14,90.05,21.51,9.2,129537.0,64636.0,41184.0,11575.0,18027.0,597.0
Nong Chok,322.0,682.0,237.56,1.36,2.87,58.1,85.19,0.24,4.24,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,148.15,152.72,11211.51,47.91,12.73,13.88,1.55,209841.0,104783.0,68865.0,571.0,34233.0,0.0
Bang Rak,1637.0,4024.0,4.03,406.03,998.1,225.44,56.02,55.92,4.92,2.86,12.0,264.0,55.0,449.0,19.0,18.0,13.0,0.0,24.59,648.91,957.37,151574.91,99.26,65.94,20.19,7.13,69300.0,33828.0,22317.0,5403.0,10806.0,705.0
Bang Khen,9057.0,21444.0,40.84,221.77,525.08,1548.81,72.23,37.92,4.74,2.92,4.0,63.0,3.0,28.0,4.0,8.0,12.0,0.0,1.92,248.48,513.01,189587.15,60.07,42.31,15.57,5.2,291630.0,135527.0,89352.0,22278.0,44499.0,0.0
Bang Kapi,6313.0,14936.0,27.56,229.09,542.01,1134.44,75.95,41.17,4.73,2.87,8.0,74.0,8.0,89.0,7.0,25.0,24.0,0.0,4.36,614.22,1832.06,165516.78,84.58,86.1,18.37,8.04,393031.0,189167.0,125878.0,30622.0,62852.0,0.0
Pathum Wan,2208.0,5706.0,8.04,274.77,710.07,357.38,62.63,44.47,5.17,2.89,31.0,409.0,70.0,455.0,16.0,37.0,62.0,0.0,26.82,658.71,1916.11,305455.21,93.33,111.94,19.21,10.13,106044.0,52734.0,33780.0,9334.0,14942.0,170.0
Pom Prap Sattru Phai,893.0,2310.0,2.5,357.18,923.96,127.7,55.28,51.08,5.17,2.97,7.0,124.0,44.0,119.0,8.0,4.0,10.0,0.0,30.41,418.42,568.6,146102.34,80.41,49.71,18.18,6.14,48682.0,24162.0,15166.0,4498.0,7346.0,1176.0
Phra Khanong,2615.0,6004.0,13.19,198.21,455.08,499.82,83.25,37.88,4.59,2.82,0.0,46.0,0.0,31.0,4.0,0.0,0.0,0.0,2.58,950.48,1626.53,39905.05,111.47,70.8,20.74,7.0,166769.0,83383.0,51691.0,13966.0,23761.0,3.0
Min Buri,9104.0,21414.0,60.41,150.7,354.47,1705.58,79.65,28.23,4.7,2.85,4.0,19.0,3.0,9.0,3.0,7.0,5.0,0.0,0.88,885.14,2473.7,61078.64,101.46,88.53,19.93,7.95,230916.0,115458.0,68883.0,22094.0,23383.0,0.0
Lat Krabang,11041.0,25796.0,128.64,85.83,200.52,2125.14,82.38,16.52,4.67,2.83,8.0,82.0,7.0,181.0,0.0,5.0,10.0,0.0,1.86,1136.75,2936.45,226856.71,107.98,116.61,19.99,10.42,315511.0,157745.0,78939.0,64.0,39417.0,0.0
Yan Nawa,3464.0,7922.0,12.39,279.51,639.22,538.49,67.97,43.45,4.57,2.8,0.0,51.0,0.0,49.0,7.0,5.0,9.0,0.0,3.75,536.39,1320.57,66534.66,76.74,73.78,16.9,7.76,190006.0,92143.0,57588.0,17262.0,28800.0,5742.0
Samphanthawong,337.0,874.0,1.41,239.24,620.47,52.16,59.68,37.03,5.19,2.98,0.0,199.0,42.0,143.0,4.0,9.0,16.0,0.0,24.47,248.77,408.17,84711.64,61.08,38.05,15.84,5.0,18627.0,8933.0,5785.0,1626.0,2637.0,104.0
Phaya Thai,3166.0,7488.0,9.25,342.13,809.17,502.19,67.07,54.27,4.73,2.82,4.0,99.0,4.0,164.0,19.0,11.0,43.0,0.0,9.51,491.23,806.36,159751.48,89.25,64.89,19.38,7.38,158668.0,79212.0,51134.0,11650.0,23300.0,5476.0
Thon Buri,2750.0,6440.0,8.06,341.25,799.15,388.57,60.34,48.22,4.68,2.84,0.0,75.0,4.0,36.0,4.0,7.0,10.0,0.0,2.64,1665.31,2802.1,19898.52,155.46,108.47,25.45,9.49,174153.0,85242.0,56778.0,14468.0,28354.0,3599.0
Bangkok Yai,2247.0,5044.0,6.29,357.14,801.7,272.98,54.12,43.39,4.49,2.81,0.0,19.0,0.0,10.0,0.0,0.0,14.0,0.0,2.15,402.82,879.16,24585.41,73.17,64.25,16.97,6.9,109616.0,53330.0,34738.0,9296.0,16146.0,2915.0
Huai Khwang,4196.0,9722.0,16.3,257.39,596.37,689.71,70.94,42.31,4.63,2.84,3.0,120.0,11.0,112.0,13.0,4.0,20.0,0.0,7.39,577.48,1410.29,177815.53,85.24,75.2,18.19,7.64,199127.0,94954.0,65703.0,18624.0,28490.0,0.0
