,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children
Grand Boulevard,976.0,2862.0,4.5,216.81,635.77,212.35,74.2,47.17,5.86,3.17,3.0,8.0,10.0,21.0,0.0,36.0,50.0,0.0,18.48,205.23,422.41,242197.55,59.77,50.59,16.15,6.46,20524.37443054961,9154.49628,12049.167274,3874.8111559999998,2869.067237,1450.3117980000002
Printers Row,70.0,160.0,0.2,348.78,797.21,10.57,66.06,52.67,4.57,2.74,0.0,6.0,0.0,12.0,0.0,0.0,10.0,0.0,36.57,975.21,1169.51,11027.95,147.04,122.12,26.11,14.3,0.0,0.0,0.0,0.0,0.0,0.0
United Center,1007.0,2870.0,3.02,333.55,950.64,169.45,59.04,56.13,5.7,3.05,3.0,14.0,5.0,30.0,0.0,19.0,21.0,0.0,23.25,466.79,1179.95,117166.05,77.9,72.75,17.86,8.04,0.0,0.0,0.0,0.0,0.0,0.0
Sheffield & DePaul,263.0,754.0,0.97,270.26,774.82,50.93,67.55,52.34,5.73,3.17,4.0,7.0,6.0,47.0,0.0,5.0,25.0,0.0,36.99,183.27,356.67,105990.72,54.13,37.11,15.18,5.13,0.0,0.0,0.0,0.0,0.0,0.0
Humboldt Park,2275.0,6904.0,11.61,196.03,594.89,525.59,76.13,45.29,6.07,3.21,7.0,37.0,11.0,68.0,9.0,31.0,67.0,6.0,24.75,157.0,738.83,842709.21,46.04,37.83,13.79,4.38,0.0,0.0,0.0,0.0,0.0,0.0
Garfield Park,1744.0,5274.0,8.35,208.79,631.39,414.21,78.54,49.59,6.05,3.21,4.0,27.0,9.0,10.0,3.0,33.0,59.0,6.0,18.9,187.71,562.59,448563.38,53.36,40.91,15.07,5.04,0.0,0.0,0.0,0.0,0.0,0.0
North Lawndale,1727.0,5234.0,8.31,207.88,630.02,382.62,73.1,46.06,6.06,3.24,6.0,15.0,3.0,18.0,10.0,30.0,61.0,5.0,20.06,207.19,992.89,423646.23,52.66,47.47,14.84,5.32,0.0,0.0,0.0,0.0,0.0,0.0
Little Village,1798.0,5362.0,11.88,151.31,451.24,441.98,82.43,37.19,5.96,3.18,5.0,34.0,3.0,44.0,7.0,33.0,39.0,4.0,20.84,154.79,1006.2,720488.33,45.05,43.22,13.55,4.71,0.0,0.0,0.0,0.0,0.0,0.0
Armour Square,539.0,1492.0,1.59,338.72,937.61,117.21,78.56,73.66,5.54,3.01,0.0,0.0,0.0,18.0,0.0,7.0,12.0,0.0,14.72,171.6,943.9,69419.43,50.89,55.25,14.69,6.08,0.0,0.0,0.0,0.0,0.0,0.0
Avalon Park,521.0,1616.0,3.24,161.03,499.48,140.2,86.76,43.33,6.2,3.27,0.0,5.0,0.0,9.0,0.0,5.0,11.0,0.0,21.04,116.29,419.24,247200.79,42.16,45.67,13.09,4.47,0.0,0.0,0.0,0.0,0.0,0.0
Burnside,209.0,592.0,1.58,132.47,375.21,46.09,77.85,29.21,5.67,3.13,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.81,205.15,1138.21,68147.5,47.03,67.09,13.54,6.11,0.0,0.0,0.0,0.0,0.0,0.0
Calumet Heights,878.0,2786.0,4.53,193.71,614.67,223.01,80.05,49.2,6.35,3.33,0.0,7.0,0.0,10.0,3.0,12.0,8.0,0.0,19.9,102.71,173.82,356773.72,40.66,20.43,12.94,3.13,0.0,0.0,0.0,0.0,0.0,0.0
Pullman,700.0,1988.0,5.48,127.8,362.96,174.73,87.89,31.9,5.68,3.0,0.0,7.0,5.0,8.0,0.0,6.0,24.0,0.0,18.08,276.59,1890.77,168867.44,47.14,68.35,13.47,6.24,0.0,0.0,0.0,0.0,0.0,0.0
Riverdale,450.0,1182.0,9.13,49.27,129.41,148.86,125.94,16.3,5.25,2.86,0.0,0.0,0.0,0.0,0.0,7.0,30.0,0.0,5.42,423.44,1709.82,86135.83,73.75,106.1,17.13,10.29,0.0,0.0,0.0,0.0,0.0,0.0
Hegewisch,996.0,3018.0,13.55,73.51,222.73,253.22,83.9,18.69,6.06,3.16,4.0,8.0,0.0,17.0,0.0,4.0,18.0,3.0,6.4,133.6,1227.55,256354.17,39.47,35.48,12.65,3.76,0.0,0.0,0.0,0.0,0.0,0.0
Douglas,1093.0,3038.0,4.27,255.93,711.36,198.19,65.24,46.41,5.56,2.98,7.0,15.0,5.0,25.0,0.0,24.0,63.0,7.0,13.29,306.36,960.02,117892.02,63.66,73.54,16.12,7.76,37.00214262020824,15.80573,27.320756,8.061982,6.233037999999999,2.6336800000000005
Oakland,299.0,844.0,1.57,190.43,537.54,61.12,72.42,38.93,5.65,3.04,0.0,0.0,0.0,0.0,0.0,5.0,17.0,0.0,10.08,203.18,324.25,44480.98,57.1,41.19,15.49,5.64,99.21179635964916,37.611002,69.213421,6.671985,12.913284,9.561498
Fuller Park,408.0,1168.0,1.85,220.67,631.73,107.37,91.93,58.07,5.73,3.07,0.0,8.0,0.0,6.0,0.0,5.0,10.0,0.0,11.75,211.58,1091.55,51241.42,49.89,68.02,14.12,6.38,10.586852467606263,5.388913,5.014682,2.844147,1.222485,0.324333
Woodlawn,872.0,2568.0,3.76,231.84,682.77,191.49,74.57,50.91,5.89,3.13,9.0,17.0,0.0,13.0,0.0,17.0,42.0,5.0,22.32,182.1,418.66,248823.85,53.99,42.74,15.12,5.62,0.0,0.0,0.0,0.0,0.0,0.0
Portage Park,2135.0,6660.0,10.23,208.69,651.0,514.29,77.22,50.27,6.24,3.27,7.0,85.0,9.0,78.0,21.0,21.0,49.0,4.0,28.79,109.68,193.76,1116164.92,41.56,22.82,13.03,3.41,0.0,0.0,0.0,0.0,0.0,0.0
Hermosa,575.0,1766.0,3.03,189.98,583.49,142.3,80.58,47.02,6.14,3.29,0.0,5.0,0.0,18.0,0.0,5.0,16.0,0.0,31.9,138.12,574.21,299808.16,42.85,35.25,13.18,4.21,0.0,0.0,0.0,0.0,0.0,0.0
Avondale,1356.0,4088.0,5.13,264.18,796.42,291.46,71.3,56.78,6.03,3.18,0.0,54.0,6.0,107.0,5.0,16.0,39.0,3.0,29.65,138.13,556.53,484778.21,44.02,36.14,13.43,4.32,0.0,0.0,0.0,0.0,0.0,0.0
Logan Square,1740.0,5350.0,6.62,263.03,808.75,354.86,66.33,53.64,6.15,3.26,6.0,129.0,12.0,255.0,17.0,17.0,74.0,14.0,29.84,131.61,279.82,688373.58,45.86,31.52,13.84,4.5,0.0,0.0,0.0,0.0,0.0,0.0
"Little Italy, UIC",1797.0,5042.0,6.63,271.2,760.92,309.21,61.33,46.67,5.61,3.04,7.0,23.0,4.0,96.0,10.0,34.0,75.0,9.0,20.77,335.04,1158.45,256227.32,62.34,73.56,15.75,7.55,0.0,0.0,0.0,0.0,0.0,0.0
