City,Country,Region,Lat,Long
Singapore, Singapore, Southeast Asia, 1.361362, 103.813341
Sapporo, Japan, Asia, 42.9849944, 140.9677893
Taipei, Taiwan, Asia, 25.0855388,121.4791004
Mexico, Mexico, North America, 19.3909832,-99.3084213
Tokyo, Japan, Asia, 35.687552, 139.765700
Denver, USA, North America, 39.723530, -104.962793
Antwerp, Belgium, Europe, 51.223137, 4.413008
Barcelona, Spain, Europe, 41.401438, 2.161297
Amsterdam, Netherlands, Europe, 52.374438, 4.897164
Zagreb, Croatia, Europe, 45.824998, 15.978040
Madrid, Spain, Europe, 40.433617, -3.685227
Athens, Greece, Europe, 37.986810, 23.729460
Berlin, Germany, Europe, 52.521689, 13.402964
Milan, Italy, Europe, 45.466677, 9.186229
Hanoi, Vietnam, Southeast Asia, 21.030918, 105.836401
Glasgow, Scotland, Europe, 55.863663, -4.252233
Edinburgh, Scotland, Europe, 55.952070, -3.191101
Bogota, Colombia, South America, 4.707887, -74.072707
SanJose, Costa Rica, South America, 9.9311733,-84.0998
Budapest, Hungary, Europe, 47.499434, 19.049154
Yokohama, Japan, Asia, 35.458747, 139.581027




