,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children,Fountain,Reception_Desk,Fuel,Drinking_Water
Bourse,183.0,500.0,0.99,184.36,503.72,39.18,78.36,39.47,5.46,3.11,10.0,437.0,67.0,713.0,8.0,30.0,208.0,3.0,62.43,315.49,506.26,162167.3,82.78,63.24,19.81,8.84,28835.0,13655.0,7645.0,3891.0,3037.0,764.0,,,,
Temple,231.0,658.0,1.16,198.96,566.72,49.08,74.59,42.27,5.7,3.21,8.0,851.0,165.0,584.0,17.0,39.0,252.0,8.0,57.56,327.14,432.62,194585.12,95.34,76.75,22.27,10.43,39407.0,19015.0,11579.0,6188.0,4771.0,1406.0,4.0,,,
Panthéon,535.0,1520.0,2.53,211.78,601.68,100.63,66.2,39.83,5.68,3.15,35.0,764.0,282.0,1028.0,31.0,97.0,387.0,12.0,40.72,279.56,541.1,284804.47,77.29,76.29,18.93,10.11,67450.0,30447.0,19072.0,13642.0,12119.0,1518.0,,,,
Luxembourg,402.0,1206.0,2.18,184.56,553.68,85.16,70.61,39.1,6.0,3.25,16.0,656.0,249.0,751.0,10.0,92.0,262.0,7.0,44.33,271.48,531.64,278370.06,78.19,76.18,19.24,9.92,39634.0,17778.0,10928.0,9552.0,6815.0,1358.0,3.0,,,
Palais-Bourbon,742.0,2182.0,4.16,178.37,524.52,159.01,72.87,38.22,5.88,3.23,17.0,405.0,130.0,437.0,11.0,55.0,397.0,7.0,34.02,349.56,696.59,363180.84,89.7,93.25,20.6,11.72,58957.0,26942.0,14821.0,14558.0,7401.0,2431.0,,,,
Élysée,717.0,2142.0,3.88,184.63,551.56,163.87,76.5,42.2,5.97,3.28,15.0,789.0,125.0,751.0,14.0,57.0,263.0,0.0,44.7,429.27,988.15,392602.15,97.18,74.56,21.61,9.92,41592.0,19658.0,10980.0,6623.0,4406.0,2157.0,,,,
Opéra,422.0,1234.0,2.17,194.23,567.95,94.18,76.32,43.35,5.85,3.29,19.0,813.0,58.0,1141.0,15.0,68.0,321.0,11.0,58.96,344.88,529.3,335891.35,90.54,70.03,21.05,9.61,56215.0,26120.0,16043.0,8018.0,6034.0,2014.0,,,,
Enclos-St-Laurent,543.0,1524.0,2.89,187.62,526.57,114.25,74.97,39.48,5.61,3.12,19.0,1136.0,67.0,1206.0,31.0,89.0,489.0,43.0,49.3,371.14,708.11,369316.04,96.2,86.0,21.86,11.62,97162.0,47540.0,25794.0,11956.0,11864.0,3968.0,,3.0,,
Popincourt,693.0,1908.0,3.67,188.89,520.05,148.13,77.64,40.37,5.51,3.14,19.0,1517.0,97.0,1547.0,48.0,124.0,555.0,40.0,51.11,338.88,453.15,501315.9,90.57,73.67,20.98,10.45,161073.0,76232.0,48602.0,27346.0,18883.0,8023.0,,,,
Gobelins,1456.0,3956.0,6.91,210.58,572.16,267.56,67.63,38.7,5.43,3.06,34.0,913.0,162.0,982.0,95.0,195.0,1057.0,68.0,33.14,400.31,964.55,495010.17,86.54,92.79,19.59,11.72,181981.0,86719.0,45620.0,33168.0,24881.0,8171.0,,,4.0,
Observatoire,1210.0,3324.0,5.49,220.22,604.98,238.76,71.83,43.46,5.49,3.06,23.0,1006.0,96.0,956.0,54.0,107.0,650.0,48.0,33.81,258.17,748.62,496520.63,69.07,74.33,17.46,9.77,126121.0,56765.0,34663.0,25213.0,18893.0,3177.0,,,,
Vaugirard,1499.0,4208.0,8.12,184.58,518.16,311.71,74.08,38.38,5.61,3.11,36.0,1367.0,62.0,1261.0,43.0,168.0,1045.0,35.0,37.77,312.59,936.83,728296.77,74.24,88.32,17.95,10.94,232433.0,101424.0,63363.0,46474.0,29567.0,8449.0,,,5.0,
Passy,1970.0,5654.0,16.11,122.3,351.01,505.01,89.32,31.35,5.74,3.16,25.0,755.0,133.0,663.0,25.0,146.0,582.0,18.0,17.78,309.88,567.61,744192.01,80.51,73.34,19.18,9.85,163792.0,72789.0,36449.0,40832.0,18129.0,4583.0,,,7.0,
Batignolles-Monceau,1029.0,2966.0,5.32,193.53,557.84,235.47,79.39,44.29,5.76,3.19,26.0,1128.0,85.0,1105.0,32.0,134.0,586.0,42.0,39.54,263.03,442.74,598930.21,74.88,64.6,18.64,9.01,155844.0,70840.0,42500.0,30694.0,18888.0,7084.0,,,,
Butte-Montmartre,1111.0,3086.0,5.88,188.85,524.57,245.68,79.61,41.76,5.56,3.15,33.0,1008.0,148.0,1160.0,18.0,117.0,705.0,20.0,37.36,282.09,760.95,591283.12,75.93,70.89,18.79,9.58,211036.0,98713.0,58352.0,31638.0,22522.0,8980.0,,,,5.0
Buttes-Chaumont,991.0,2594.0,6.15,161.25,422.09,208.85,80.51,33.98,5.24,3.02,28.0,757.0,93.0,743.0,28.0,156.0,703.0,83.0,32.45,330.39,936.04,465801.93,77.12,84.46,18.39,10.85,179151.0,83657.0,43936.0,27784.0,19922.0,7945.0,,,3.0,
