,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children
Whittier Heights,3627.0,9866.0,15.25,237.91,647.15,607.79,61.6,39.87,5.44,3.05,11.0,242.0,29.0,247.0,26.0,19.0,399.0,8.0,19.07,156.87,325.38,933806.88,50.38,29.09,14.55,3.86,47280.771785227,22444.707413999997,23267.687735,7213.538168,3727.229582,2659.167034
Interbay,6406.0,16278.0,21.82,293.55,745.93,904.96,55.59,41.47,5.08,2.98,12.0,230.0,75.0,240.0,28.0,25.0,344.0,9.0,17.4,209.75,516.96,1030688.07,56.94,40.87,15.42,4.92,3065.6083376490405,1466.11196,1499.010557,594.8524610000001,222.285043,156.48944
Miller Park,1981.0,5460.0,11.91,166.32,458.4,317.03,58.06,26.62,5.51,3.08,11.0,342.0,115.0,460.0,37.0,18.0,568.0,13.0,18.85,290.79,690.94,511644.17,66.26,50.89,16.6,6.04,0.0,0.0,0.0,0.0,0.0,0.0
Olympic Hills/Victory Heights,4443.0,11032.0,17.98,247.07,613.47,610.72,55.36,33.96,4.97,2.9,7.0,153.0,29.0,115.0,30.0,22.0,162.0,7.0,14.24,182.59,363.41,779634.33,55.59,34.43,15.41,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Duwamish/SODO,8288.0,21768.0,32.61,254.19,667.61,1441.22,66.21,44.2,5.25,2.97,12.0,249.0,87.0,242.0,12.0,20.0,264.0,9.0,17.07,310.48,1251.8,1082340.89,60.37,64.9,15.49,6.5,0.0,0.0,0.0,0.0,0.0,0.0
Columbia City,4456.0,11356.0,28.72,155.14,395.36,690.82,60.83,24.05,5.1,2.95,6.0,93.0,39.0,133.0,14.0,24.0,195.0,5.0,10.3,157.43,317.71,966052.15,51.4,29.97,14.74,4.02,0.0,0.0,0.0,0.0,0.0,0.0
Central Area/Squire Park,2373.0,6334.0,13.06,181.74,485.11,344.17,54.34,26.36,5.34,3.02,7.0,73.0,31.0,119.0,11.0,19.0,185.0,10.0,12.81,164.19,324.56,532573.81,52.26,31.96,14.86,4.11,0.0,0.0,0.0,0.0,0.0,0.0
Licton Springs,6395.0,17088.0,24.85,257.31,687.56,1001.27,58.59,40.29,5.34,2.99,14.0,271.0,72.0,268.0,40.0,36.0,441.0,16.0,17.77,159.19,357.65,1430111.28,51.54,34.38,14.77,4.32,23280.65479806692,10962.030184,11551.251601,3073.956379,1937.426582,1348.066832
Wallingford,2293.0,6278.0,11.55,198.54,543.59,357.3,56.91,30.94,5.48,3.06,13.0,327.0,193.0,444.0,45.0,36.0,819.0,19.0,22.72,224.83,507.81,656598.02,56.25,44.42,15.13,5.23,7040.95187200321,3333.797979,3474.351968,845.109993,590.663728,353.229891
Pioneer Square/International District,857.0,2368.0,2.42,354.28,978.93,125.44,52.97,51.86,5.53,3.14,14.0,474.0,126.0,535.0,28.0,8.0,402.0,20.0,32.8,1007.39,1031.11,103806.89,131.73,73.52,23.9,8.11,0.0,0.0,0.0,0.0,0.0,0.0
Arbor Heights,3641.0,9754.0,18.74,194.31,520.53,721.03,73.92,38.48,5.36,3.06,5.0,151.0,20.0,154.0,19.0,19.0,268.0,8.0,17.81,143.14,200.39,1157614.89,49.65,24.82,14.5,3.67,0.0,0.0,0.0,0.0,0.0,0.0
High Point,3610.0,9468.0,21.24,169.98,445.81,697.98,73.72,32.87,5.25,2.97,9.0,37.0,38.0,41.0,6.0,15.0,87.0,4.0,11.9,170.8,736.52,744978.43,50.34,42.39,14.43,4.58,0.0,0.0,0.0,0.0,0.0,0.0
Wedgwood/View Ridge,6082.0,16100.0,38.26,158.98,420.85,1043.93,64.84,27.29,5.29,2.99,26.0,340.0,115.0,347.0,30.0,32.0,686.0,10.0,12.64,192.76,517.1,1398498.79,55.73,39.31,15.34,4.7,0.0,0.0,0.0,0.0,0.0,0.0
