,No. of Nodes,No. of Edges,Area (km2),Node density (km2),Edge density (km2),Total Length (km),Mean Length (m) ,Length density (km2),Mean Degree,Mean Neighbourhood Degree,Civic,Commercial,Entertainment,Food,Healthcare,Institutional,Recreational,Social,Building Footprint (Proportion),Mean Building Footprint (m2),Building Footprint St.dev (m2),Total Building Perimeter (m),Mean Building Perimeter (m),Building Perimeter St.dev (m),Mean Building Complexity,Building Complexity St.dev,PopSum,Men,Women,Elderly,Youth,Children
ANG MO KIO,2410.0,6620.0,13.94,172.93,475.03,489.44,73.93,35.12,5.49,2.94,8.0,133.0,4.0,162.0,24.0,46.0,116.0,4.0,17.0,604.07,1358.24,418242.83,106.59,107.12,21.81,11.56,234545.0,103815.0,61520.0,15380.0,26915.0,7690.0
BEDOK,4408.0,11660.0,21.72,202.91,536.75,813.6,69.78,37.45,5.29,2.96,14.0,326.0,29.0,335.0,52.0,55.0,259.0,10.0,22.47,444.93,1027.07,989537.42,90.22,91.65,19.85,10.22,397824.0,174048.0,99456.0,24864.0,49728.0,16576.0
BISHAN,1690.0,4442.0,7.62,221.9,583.25,295.04,66.42,38.74,5.26,2.93,8.0,164.0,12.0,171.0,22.0,24.0,118.0,11.0,19.99,464.27,1346.6,288257.67,87.86,112.43,19.22,11.86,122616.0,54234.0,33012.0,7074.0,16506.0,4716.0
BOON LAY,1164.0,2842.0,8.28,140.63,343.36,279.17,98.23,33.73,4.88,2.78,0.0,7.0,0.0,15.0,0.0,0.0,6.0,0.0,23.17,3045.72,6076.78,130906.7,207.79,180.61,29.08,12.49,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK,1887.0,4950.0,11.13,169.55,444.76,358.11,72.35,32.18,5.25,2.96,6.0,59.0,14.0,93.0,13.0,19.0,51.0,3.0,14.3,625.19,1153.23,297473.33,116.84,125.26,23.18,14.98,215576.0,96885.0,58130.0,7266.0,29066.0,9689.0
BUKIT MERAH,3114.0,8396.0,14.46,215.4,580.76,611.45,72.83,42.29,5.39,2.91,20.0,260.0,64.0,412.0,44.0,42.0,69.0,3.0,15.04,1285.94,2791.3,283849.04,167.86,137.82,28.77,14.34,213143.0,88809.0,48846.0,13321.0,17762.0,8881.0
BUKIT PANJANG,1355.0,3448.0,9.02,150.27,382.39,250.03,72.51,27.73,5.09,2.89,4.0,37.0,39.0,86.0,8.0,23.0,59.0,0.0,12.1,645.63,1066.06,208833.06,123.5,120.07,24.32,14.56,227785.0,95800.0,55352.0,6387.0,29804.0,10644.0
BUKIT TIMAH,2620.0,6486.0,17.52,149.54,370.2,542.16,83.59,30.94,4.95,2.85,5.0,171.0,14.0,244.0,22.0,50.0,62.0,9.0,20.23,441.72,875.31,694624.22,86.58,69.65,19.08,7.12,100800.0,36000.0,21600.0,0.0,7200.0,0.0
GEYLANG,2393.0,6358.0,9.64,248.26,659.61,467.35,73.51,48.48,5.31,2.9,17.0,608.0,18.0,456.0,45.0,31.0,71.0,6.0,27.49,601.53,1129.27,454692.52,103.2,96.03,21.42,10.86,161325.0,71700.0,39435.0,7170.0,17925.0,7170.0
KALLANG,2017.0,5334.0,9.17,220.05,581.92,384.11,72.01,41.91,5.29,2.92,10.0,341.0,22.0,458.0,18.0,23.0,133.0,6.0,20.04,753.26,2495.25,276166.74,113.18,113.69,22.6,12.04,141723.0,61136.0,33347.0,8336.0,13895.0,5558.0
NOVENA,1806.0,4472.0,8.96,201.46,498.85,333.11,74.49,37.16,4.95,2.85,9.0,233.0,8.0,236.0,21.0,31.0,72.0,4.0,16.65,379.72,780.17,323355.68,82.32,78.86,18.91,8.55,66543.0,27591.0,16230.0,3246.0,6492.0,3246.0
PASIR RIS,2166.0,5514.0,15.8,137.07,348.94,427.46,77.52,27.05,5.09,2.85,5.0,59.0,3.0,113.0,15.0,25.0,46.0,0.0,14.75,758.51,1748.98,360796.53,117.45,118.88,22.87,12.84,200301.0,92138.0,56084.0,4006.0,32048.0,8012.0
HOUGANG,3059.0,7768.0,13.93,219.64,557.75,544.86,70.14,39.12,5.08,2.9,8.0,196.0,5.0,193.0,46.0,38.0,109.0,18.0,22.95,555.52,1960.62,554921.19,96.44,98.96,20.17,10.59,300216.0,134025.0,80415.0,10722.0,42888.0,10722.0
JURONG EAST,2754.0,7034.0,17.85,154.26,393.99,528.38,75.12,29.6,5.11,2.87,6.0,102.0,9.0,93.0,11.0,11.0,44.0,4.0,15.56,2099.54,3638.37,258885.55,195.68,159.01,29.93,15.09,113420.0,54414.0,27222.0,4547.0,13596.0,4532.0
LIM CHU KANG,1131.0,2550.0,17.49,64.67,145.8,213.72,83.81,12.22,4.51,2.78,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.89,580.03,1000.82,85301.62,98.05,75.21,20.33,8.73,0.0,0.0,0.0,0.0,0.0,0.0
MANDAI,450.0,1154.0,11.76,38.26,98.11,138.33,119.87,11.76,5.13,2.83,0.0,11.0,0.0,16.0,0.0,0.0,8.0,0.0,3.06,976.12,3384.26,42733.53,115.81,105.96,22.19,10.11,2552.0,638.0,638.0,0.0,0.0,0.0
MARINE PARADE,1130.0,2928.0,6.13,184.28,477.49,211.87,72.36,34.55,5.18,2.89,5.0,219.0,20.0,293.0,45.0,31.0,53.0,3.0,17.07,283.65,636.54,265980.53,72.1,62.81,17.86,7.48,62712.0,26130.0,15678.0,3484.0,6968.0,1742.0
PIONEER,2529.0,5894.0,12.21,207.05,482.54,448.03,76.01,36.68,4.66,2.8,0.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,29.13,2759.15,4151.89,269153.31,208.81,143.6,29.51,10.6,0.0,0.0,0.0,0.0,0.0,0.0
