geo,name,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017","World bank, 3 income groups 2017",UNHCR
aus,Australia,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1/11/1945,East Asia & Pacific,High income,High income,Asia and the Pacific
brn,Brunei,asia,east_asia_pacific,east_asia_pacific,g77,4.5,114.66667,21/9/1984,East Asia & Pacific,High income,High income,Asia and the Pacific
khm,Cambodia,asia,east_asia_pacific,east_asia_pacific,g77,13,105,14/12/1955,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
chn,China,asia,east_asia_pacific,east_asia_pacific,g77,35,105,24/10/1945,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
fji,Fiji,asia,east_asia_pacific,east_asia_pacific,g77,-18,178,13/10/1970,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
hkg,"Hong Kong, China",asia,east_asia_pacific,east_asia_pacific,others,22.28552,114.15769,,East Asia & Pacific,High income,High income,Asia and the Pacific
idn,Indonesia,asia,east_asia_pacific,east_asia_pacific,g77,-5,120,28/9/1950,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
jpn,Japan,asia,east_asia_pacific,east_asia_pacific,oecd,35.68536,139.75309,18/12/1956,East Asia & Pacific,High income,High income,Asia and the Pacific
kir,Kiribati,asia,east_asia_pacific,east_asia_pacific,others,1.421,172.984,14/9/1999,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
prk,North Korea,asia,east_asia_pacific,east_asia_pacific,g77,40,127,17/9/1991,East Asia & Pacific,Low income,Low income,Asia and the Pacific
kor,South Korea,asia,east_asia_pacific,east_asia_pacific,oecd,36.5,127.75,17/9/1991,East Asia & Pacific,High income,High income,Asia and the Pacific
lao,Lao,asia,east_asia_pacific,east_asia_pacific,g77,18,105,14/12/1955,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
mys,Malaysia,asia,east_asia_pacific,east_asia_pacific,g77,2.5,112.5,17/9/1957,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
mhl,Marshall Islands,asia,east_asia_pacific,east_asia_pacific,g77,7.113,171.236,17/9/1991,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
fsm,"Micronesia, Fed. Sts.",asia,east_asia_pacific,east_asia_pacific,g77,6.924,158.162,17/9/1991,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
mng,Mongolia,asia,east_asia_pacific,east_asia_pacific,g77,46,105,27/10/1961,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
mmr,Myanmar,asia,east_asia_pacific,east_asia_pacific,g77,21,96,19/4/1948,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
nru,Nauru,asia,east_asia_pacific,east_asia_pacific,others,-0.517,166.933,14/9/1999,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
nzl,New Zealand,asia,east_asia_pacific,east_asia_pacific,oecd,-42,174,24/10/1945,East Asia & Pacific,High income,High income,Asia and the Pacific
plw,Palau,asia,east_asia_pacific,east_asia_pacific,others,7.503,134.621,15/12/1994,East Asia & Pacific,High income,High income,Asia and the Pacific
png,Papua New Guinea,asia,east_asia_pacific,east_asia_pacific,g77,-6,147,10/10/1975,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
phl,Philippines,asia,east_asia_pacific,east_asia_pacific,g77,13,122,24/10/1945,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
wsm,Samoa,asia,east_asia_pacific,east_asia_pacific,g77,-13.8,-172.13333,15/12/1976,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
sgp,Singapore,asia,east_asia_pacific,east_asia_pacific,g77,1.28967,103.85007,21/9/1965,East Asia & Pacific,High income,High income,Asia and the Pacific
slb,Solomon Islands,asia,east_asia_pacific,east_asia_pacific,g77,-8,159,19/9/1978,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
twn,Taiwan,asia,east_asia_pacific,east_asia_pacific,others,24,121,,East Asia & Pacific,High income,High income,
tha,Thailand,asia,east_asia_pacific,east_asia_pacific,g77,15.5,101,16/12/1946,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
tls,Timor-Leste,asia,east_asia_pacific,east_asia_pacific,g77,-8.83333,125.75,27/9/2002,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
ton,Tonga,asia,east_asia_pacific,east_asia_pacific,g77,-20,-175,14/9/1999,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
tuv,Tuvalu,asia,east_asia_pacific,east_asia_pacific,others,-8.51719,179.14478,5/9/2000,East Asia & Pacific,Upper middle income,Middle income,Asia and the Pacific
vut,Vanuatu,asia,east_asia_pacific,east_asia_pacific,g77,-16,167,15/9/1981,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
vnm,Vietnam,asia,east_asia_pacific,east_asia_pacific,g77,16.16667,107.83333,20/9/1977,East Asia & Pacific,Lower middle income,Middle income,Asia and the Pacific
alb,Albania,europe,europe_east,europe_central_asia,others,41,20,14/12/1955,Europe & Central Asia,Upper middle income,Middle income,Europe
and,Andorra,europe,europe_west,europe_central_asia,others,42.50779,1.52109,28/7/1993,Europe & Central Asia,High income,High income,Europe
arm,Armenia,europe,europe_east,europe_central_asia,others,40.25,45,2/3/1992,Europe & Central Asia,Lower middle income,Middle income,Europe
aut,Austria,europe,europe_west,europe_central_asia,oecd,47.33333,13.33333,14/12/1955,Europe & Central Asia,High income,High income,Europe
aze,Azerbaijan,europe,europe_east,europe_central_asia,others,40.5,47.5,2/3/1992,Europe & Central Asia,Upper middle income,Middle income,Europe
blr,Belarus,europe,europe_east,europe_central_asia,others,53,28,24/10/1945,Europe & Central Asia,Upper middle income,Middle income,Europe
bel,Belgium,europe,europe_west,europe_central_asia,oecd,50.75,4.5,27/12/1945,Europe & Central Asia,High income,High income,Europe
bih,Bosnia and Herzegovina,europe,europe_east,europe_central_asia,g77,44.25,17.83333,22/5/1992,Europe & Central Asia,Upper middle income,Middle income,Europe
bgr,Bulgaria,europe,europe_east,europe_central_asia,others,42.66667,25.25,14/12/1955,Europe & Central Asia,Upper middle income,Middle income,Europe
hrv,Croatia,europe,europe_east,europe_central_asia,others,45.16667,15.5,22/5/1992,Europe & Central Asia,Upper middle income,Middle income,Europe
cyp,Cyprus,europe,europe_west,europe_central_asia,others,35,33,20/9/1960,Europe & Central Asia,High income,High income,Europe
cze,Czech Republic,europe,europe_east,europe_central_asia,oecd,49.75,15,19/1/1993,Europe & Central Asia,High income,High income,Europe
